Queries,ground_truths
dog,41999070 78984436 214501174 3397803103 3399312265 3400135828 3401437960 3401647850 3401902253 3411595210 3437693401 3642220260 3763892708					
instrument,5217116 74437575 134829866 140732943 158093226 183390543 4484549063 4445547327 3634200287 28041138 149588792 4202061400 4202073868 3520199925 3705560226			
tennis,22930048 23008270 23012542 3420278866					
sleeping,4749855 20249851 70758995 106027774 106027978 176230509 213583123				
billiard,76607426 3906885450				
ball,76607426 156246815 200778628 3403263046 3522749949 3545652636 3672940355 3805841948 			
bicycle, 3947925542 3847619635 3634400263 3474176841 207344485 166321259 131840964 101001624 39490282  			
kids,3662865 4280272 18638574 18638572 13478218 20249851 70645290 70758995 58957719 73647680 96022995 110600869 113032513 126042604 132887917 136644343 137306998 141140165 3914720167 141213544 146758244 4445547327 4576510103 4545666207 4514569500 3765374230 3673484638 149043687 150411291 155215518 162161519 3672940355 3611039179 3612451934 3613030730 3545652636 169490297 3520321387 3496411891 3471514734 3471500645 173621789 174466741 179828434 3432586199 185075930 183975129 205371152 200778628 207216904 210713758      				
animal, 41999070 78984436 214501174 3397803103 3399312265 3400135828 3401437960 3401647850 3401902253 3411595210 3437693401 3642220260 3763892708 4576510103 3938776000 210713758 130784506 110201971 5919020 5958182					
snow, 3662865 5722658 101001624 109738916 113678030 3397803103 3399312265 3400135828 3432586199 4337308572 4335121319
guy with guitar,5217116 28041138 3705560226 4202061400 4202073868			
a girl riding a horse,4576510103					
a man surfing,172092461 172097783 3413571342 3497106366				
a man shaving,4322110026 197688193
a child in winter,3432586199 113032513 101001624 5722658 3662865
playing soccer,33064820 160417285 200778628 3522749949 3545652636 3672940355 4242032129 4242038325 4545666207 															
guy kicking a ball,156246815 200778628 3522749949 3545652636 160417285
little girl crying,70645290 
a dog in the water,41999070 3401647850 3401902253 3411595210
a car race,166654939
a dog is running on the field,78984436 181157221 3472485022					
a person walking on the beach,160792599 134747073 131632409  					
a man is riding a quad bike,109823397 109823394 109823395				
a man blowing a bubblegum bubble,117478651
people training a fighting sport,123315267 120545126 120545123 4576671 3705781399 132955537 18638574 18638572 18638962 76288384 3544803461
An airoplane being serviced,5526034 3753939
people sitting in an audience,71174245 137444338 
a family posing for a picture,3612451934 71406758 3520321387 82676766 141213544
a man without a shirt on,194935702 4475688604 39490282 76288384 96420612 84824317 3685373706 3544803461 212863746
a woman or girl playing the violin,4445547327 3520199925
